symbol,companyName,companyNameEng,shortName,foundDate,phone,email,vnAddress,website,industryName,floor,listedDate,vnSummary
DRL,Công ty Cổ phần Thủy Điện - Điện lực 3,Hydro Power Joint Stock Company – Power No.3,Th.Điện - Đ.lực 3,2013-01-20,+84 (261) 3684888,thuydiendl3@gmail.com,"Xã EaPô, huyện Cư Jút, Đắk Nông, Việt Nam",www.pc3hp.com.vn,Điện,HOSE,2012-04-11,"Công ty Cổ phần Thủy điện – Điện lực 3 (DRL) được thành lập ngày 20/11/2003 với số vốn điều lệ là 95 tỷ đồng để thực hiện dự án Thủy điện Đrây H’Linh 2 do Công ty Điện lực 3 chuyển giao, theo quyết định của Tổng công ty điện lực Việt Nam. Cổ đông lớn của công ty là Tổng công ty Điện lực Miền Trung, nắm giữ 30,42% cổ phần. Nhà máy Thủy điện Đrây H’Linh 2 tại Đăk Lăk đã được chính thức đưa vào vận hành thương mại từ tháng 01/ 2007, hiện đang sản xuất điện thương phẩm để cung cấp trực tiếp và duy nhất cho Tổng Công ty Điện lực miền Trung (CPC). Hiện tại công ty đang kinh doanh trên địa bàn hai tỉnh Đăk Nông và Đăk Lăk. "
DS3,Công ty Cổ phần Quản lý Đường sông số 3,Inland Waterway Management Joint Stock Company N0 3,Đường sông số 3,2006-01-10,+84 (203) 3835799,duongsong3@gmail.com,"Tổ 2, khu 2, phường Hồng Hà, thành phố Hạ Long, Quảng Ninh, Việt Nam",duongsong3.vn,Dịch vụ vận tải,HNX,2017-08-21,"Công ty Cổ phần Quản lý Đường sông số 3 (DS3) có tiền thân là Đoạn quản lý Đường sông số 3, được thành lập vào năm 1964. Công ty hoạt động trong lĩnh vực cung cấp dịch vụ quản lí, bảo trì đường thuỷ nội địa, kinh doanh cho thuê tàu du lịch, dịch vụ khách sạn, lưu trú. DS3 chính thức hoạt động theo hình thức công ty cổ phần từ năm 2006. Công ty hiện nay đang quản lý bảo trì 426,5 km tuyến đường thủy nội địa từ ngã ba Sông Bạch Đằng (thị xã Quảng Yên) đến Cảng Thọ Xuân (thành phố Móng Cái) và các tuyến đường thủy nối từ bờ ra các đảo trên địa bàn tỉnh Quảng Ninh. Bên cạnh đó, Công ty còn kinh doanh tàu du lịch trên Vịnh Hạ Long và dịch vụ khách sạn lưu trú tại Hà Nội. DS3 được niêm yết và giao dịch trên Sở Giao dịch Chứng khoán Hà Nội (HNX) từ tháng 08/2017."
DSN,Công ty Cổ phần Công viên nước Đầm Sen,Dam Sen Water Park Corporation,CVN Đầm Sen,2003-01-03,+84 (28) 38588418,lienhe@damsenwaterpark.com.vn,"03 Hòa Bình, Phường 3, Quận 11, TP Hồ Chí Minh, Việt Nam",www.damsenwaterpark.com.vn,Dịch vụ vui chơi giải trí,HOSE,2010-10-26,"Công ty Cổ phần Công viên nước Đầm Sen (DSN) có tiền thân là Công ty TNHH Công viên Nước Đầm Sen được thành lập và đi vào hoạt động vào năm 1998. Từ năm 2003, DSN chuyển sang hoạt động theo mô hình Công ty cổ phần. Công ty được xem là một trong những công ty đầu tiên cung cấp dịch vụ vui chơi giải trí và thể thao dưới nước tại Việt Nam theo tiêu chuẩn Châu Âu. Công viên nước Đầm Sen được xây dựng trên diện tích gần 3 ha với hệ thống thiết bị hiện đại gồm 36 thiết bị trò chơi dưới nước và một hồ tại sóng rộng 3.000 m2. Năm 2005, công ty đã đưa vào hoạt động Công viên Khủng long với những hạng mục tiêu biểu như nhà trưng bày khủng long hóa thạch nổi bật là hai mô hình bộ xương khủng long lớn được thực hiện dựa trên các số liệu thật của bộ xương khủng long hóa thạch. DSN được niêm yết và giao dịch trên HOSE từ năm 2010."
DST,Công ty Cổ phần Đầu tư Sao Thăng Long,Sao Thang Long Investment Joint Stock Company,ĐT Sao Thăng Long,2004-12-29,+84 (228) 3845620,,"13 Minh Khai, P Nguyễn Du, TP Nam Định, Nam Định, Việt Nam",saothanglong.vn,Cửa hàng chuyên dụng,HNX,2007-10-16,"
Công ty Cổ phần Đầu tư Sao Thăng Long (DST) tiền thân là Phòng sách giáo khoa trực thuộc Sở Giáo dục - Đào tạo Nam Định được thành lập năm 1983. Năm 2004, công ty chuyển sang hoạt động theo mô hình cổ phần. Công ty hoạt động chính trong ngành kinh doanh sách giáo khoa và có thế mạnh là sách tham khảo, triển khai phát hành sách, công ty còn liên doanh liên kết với các nhà xuất bản khác để sản xuất bản thảo sách. Hiện nay Công ty có 5 cửa hàng sách, 46 trường THPT, 10 đại lý cấp 1, 36 đại lý cấp 2 và 1 siêu thị tổng hợp giới thiệu, kinh doanh sách và thiết bị giáo dục (rộng 235,5 m2, ngay tại trụ sở Công ty ở số 13 Minh Khai, Tp. Nam Định có vốn đầu tư xây dựng gần 3,4 tỷ đồng). Ngoài ra, công ty còn phân phối cho 10 phòng Giáo dục - Đào tạo – là đơn vị quản lý 245 trường THCS, 291 trường tiểu học và 161 trường mầm non. Ngoài ra công ty còn cung cấp đồ dùng và thiết bị dạy học cho Công ty Cổ phần Sách Thiết bị Trường học thành phố Hồ Chí Minh, Sách giáo khoa cho Nhà xuất bản Giáo dục Hà Nội."
DTA,Công ty Cổ phần Đệ Tam,De Tam Joint Stock Company,CTCP Đệ Tam,2003-10-10,+84 (28) 39974668,info@detamland.com,"2/6-2/8 Núi Thành, P.13, Q.Tân Bình, TP.HCM, TP Hồ Chí Minh, Việt Nam",http://www.detamland.com,Đầu tư và phát triển bất động sản,HOSE,2010-07-16,"Công ty Cổ phần Đệ Tam (VDTA) được thành lập ngày 10 tháng 10 năm 2003 theo giấy CNĐKKD số 4103001861 do Sở Kế hoạch và Đầu tư Tp. Hồ Chí Minh cấp với số vốn ban đầu là 2,5 tỷ đồng. 
Trong quá trình hoạt động của mình, DTA luôn nâng cao tính chuyên nghiệp, thân thiện trong cung cách phục vụ, nghiêm khắc trong công tác quản lý, đi sâu đi sát thị trường để đáp ứng ngày càng tốt hơn nữa nhu cầu của khách hàng. Trước khi phát triển bất cứ dự án nào, DTA luôn tìm hiểu kỹ mong muốn của khách hàng, nghiên cứu, tìm kiếm để đưa ra thị trường những sản phẩm tiên phong và ưu việt trong thiết kế cũng như xây dựng.
"
DTC,Công ty Cổ phần Viglacera Đông Triều,Dong Trieu Viglacera JSC,Viglacera Đông Triều,2004-03-01,+84 (203) 3671011,Dongtrieu.dtc@gmail.com,"Phường Xuân Sơn, thị xã Đông Triều, Quảng Ninh, Việt Nam",viglaceradtc.com.vn,Điện,HNX,2021-11-16,"Công ty cổ phần Đông Triều Viglacera (DTC) là đơn vị thuộc Tổng công ty Viglacera chuyên sản xuất và kinh doanh vật liệu xây dựng hàng đầu Việt Nam với nhãn hiệu thương mại VIGLACERA. Các sản phẩm của công ty được sản xuất trên dây chuyền thiết bị hiện đại gồm một hệ thống chế biến tạo hình Tiệp khắc, Ucraina - Italia và hệ thống lò sấy nung Tuynel với tổng công suất là 100 triệu viên QTC/năm. Hiện nay Công ty đã có ba nhà máy sản xuất vật liệu xây dựng chuyên sản xuất các sản phẩm chính bao gồm các loại gạch xây 2 lỗ, 6 lỗ, gạch nem tách 200, 250, 300, các loại ngói lợp, ngói mũi hài, ngói sò… Thị trường tiêu thụ là chính của công ty bao gồm Quảng Ninh, Hải Phòng, Hải Dương, Hà Nội, Bắc Ninh, Bắc Giang, Thái Bình, Nam Định, Ninh Bình. Bên cạnh lĩnh vực sản xuất kinh doanh vật liệu xây dựng, công ty còn thành lập các xí nghiệp trực thuộc về xây dựng công trình công nghịêp dân dụng, kinh doanh dịch vụ. "
DTD,Công ty Cổ phần Đầu tư Phát triển Thành Đạt,Thanh Dat Investment Development Joint Stock Company,ĐTPT Thành Đạt,2002-05-07,+84 (226) 3850936,thanhdathn2010@gmail.com,"Đường Nguyễn Thị Định, Phường Thanh Châu, TP Phủ Lý, Hà Nam, Việt Nam",thanhdathanam.vn,Xây dựng công trình,HNX,2017-11-16,"Công ty Cổ phần Đầu tư Phát triển Thành Đạt (DTD) có tiền thân là Công ty Xây dựng Thành Đạt, được thành lập vào năm 2001. Công ty hoạt động chính trong lĩnh vực xây dựng các công trình dân dụng, cơ sở hạ tầng hạ tầng, và sản xuất kinh doanh vật liệu xây dựng. DTD chính thức hoạt động dưới hính thức công ty cổ phần từ năm 2015. Công ty đã thi công các dự án tiêu biểu như Dự án Xây dựng Khu công nghiệp Đồng Văn III - Duy Tiên - Hà Nam, Dự án đầu tư xây dựng công trình Trường THPT chuyên Biên Hòa - Phủ Lý - Hà Nam, Dự án Trung tâm nuôi dưỡng bệnh binh và người có công tỉnh Hà Nam - Hạng mục Nhà điều dưỡng. Công ty đang triển khai thực hiện các dự án: Hợp đồng xây dựng hạ tầng Bệnh viện Hữu Nghị Việt Đức - Cơ sở II, Dự án xây dựng hạ tầng Bệnh viện Bạch Mai - Cơ sở II. Bên cạnh đó, Công ty còn sản xuất kinh doanh vật liệu xây dựng, nước sạch và dịch vụ bến xe. DTD được niêm yết và giao dịch trên Sở Giao dịch Chứng khoán Hà Nội(HNX) từ cuối năm 2017."
DTK,Tổng công ty Điện lực TKV - CTCP,Vinacomin – Power Holding Corporation,TCT Điện lực TKV,2016-01-15,+84 (24) 35161605,vp@vinacominpower.vn,"Số 78 Tầng 2, tòa nhà Sannam, đường Duy Tân, quận Cầu Giấy, Hà Nội, Việt Nam",www.dienluctkv.vn,Điện,HNX,2020-12-25,"Tổng Công ty Điện lực TKV (Vinacomin Power)  được thành lập vào ngày 21/10/2009. Là thành viên của Tập đoàn Công nghiệp Than-Khoáng sản Việt Nam, Vinacomin Power chuyên đầu tư, xây dựng, khai thác vận hành các nhà máy thủy điện, nhiệt điện. Tổng Công ty chính thức hoạt động theo hình thức công ty cổ phần với vốn điều lệ 6.800 tỷ đồng vào tháng 01/2016. Vinacomin Power hiện đang quản lý và vận hành 5 nhà máy nhiệt điện gồm Cẩm Phả 12, Sơn Động, Mạo Khê, Na Dương và Cao Ngạn với tổng công suất khoảng 1.550MW, chiếm khoảng 5% tổng công suất của toàn hệ thống. "
DTL,Công ty Cổ phần Đại Thiên Lộc ,Dai Thien Loc Corporation,CTCP Đại Thiên Lộc,2007-04-12,+84 (274) 3719999,sales@daithienloc.com.vn,"Lô CN8, Đường CN5, KCN Sóng Thần 3, P. Phú Tân, TP Thủ Dầu Một, Bình Dương, Việt Nam",,Thép,HOSE,2010-06-04,"
Công ty Cổ phần Đạt Thiên Lộc (DTL) tiền thân là công ty TNHH Thép Đại Thiên Lộc được thành lập năm 2001. Công ty được cổ phần hóa năm 2007. Hoạt động kinh doanh chính của công ty là sản xuất và kinh doanh các sản phẩm thép như tôn mạ kẽm, tôn mạ màu, thép tấm, thép hình. Hiện tại công ty có 7 chi nhánh và 500 đại lý phân phối sản phẩm trên toàn quốc. Sản phẩm của công ty được xuất khẩu sang các khu vực Asean, Tây Á, Bắc Á, Trung Đông, Châu Phi. Năm 2008, Công ty đã đầu tư xây dựng Khu Liên hợp sản xuất Thép Đại Thiên Lộc với diện tích 105.285 m2 tại khu công nghiệp Sóng Thần 3 tỉnh Bình Dương. Công ty chủ yếu bán ở thị trường nội địa trong đó Đông Nam Bộ (59%), miền Bắc (18,9%). "
DTT,Công ty Cổ phần Kỹ nghệ Đô Thành ,Do Thanh Technology Corporation,Kỹ nghệ Đô Thành,2004-07-01,+84 (28) 39236238,info@dothanhtech.com,"59-65 Huỳnh Mẫn Đạt, Phường 5, Quận 5, TP Hồ Chí Minh, Việt Nam",www.dothanhtech.com,Hóa chất đặc biệt,HOSE,2006-12-22,"Công ty Cổ phần Kỹ nghệ Đô Thành (DTT) cung cấp 3 nhóm sản phẩm chính: sản phẩm nhựa công nghiệp kỹ thuật chiếm 60% tổng sản phẩm sản xuất, sản phẩm bao bì rỗng và sản phẩm khuôn mẫu dùng trong ngành nhựa. 40% nguyên liệu chính sử dụng trong sản xuất được nhập khẩu từ các nước Đông Nam Á, Hàn Quốc, Đài Loan...(còn lại được thu mua từ các nhà cung cấp chính tại Tp.HCM. Khách hàng của công ty hầu hết là những nhà sản xuất nổi tiếng như Tribeco, Bia Sài Gòn, Pepsi, Maggi, Coca Cola v.v. Công ty xuất khẩu gián tiếp qua công ty Vietecfood (cho tập đoàn Massan vào thị trường Châu Âu), Công ty xuất nhập khẩu Gilimex. Xuất khẩu trực tiếp cho tập đoàn Parson (tập đoàn có hệ thống siêu thị tại khu vực Châu Âu). Các thị trường hiện có ở nước ngoài như Mỹ, Nhật, ASEAN, và một số thị trường sẽ khai thác như Châu Âu, Trung Đông,..."
DVG,CTCP TẬP ĐOÀN SƠN ĐẠI VIỆT,DAI VIET PAINT GROUP JOINT STOCK COMPANY,Sơn Đại Việt,2015-12-02,+84 (24) 33532569,,"Thanh Lãm, P Phú Lãm, Q Hà Đông, Hà Nội, Việt Nam",,Vật liệu xây dựng,HNX,2021-01-14,"Công ty Cổ phần Tập đoàn Sơn Đại Việt tiền thân là Công ty TNHH Xây dựng và Thương mại Đại Việt, được thành lập từ ngày 27/02/2006. Từ những ngày đầu thành lập, Công ty đã chú trọng phát triển lĩnh vực sản xuất và thương mại các sản phẩm ngành sơn. Sau gần 15 năm phát triển, công ty đã trở thành một đơn vị cung cấp Sơn có chất lượng và uy tín đến tay người tiêu dùng, đặc biệt trong quá trình xây dựng hệ thống phân phối và đại lý. Hiện nay công ty sở hữu vốn điều lệ lên tới 40 tỷ đồng."
DVP,Công ty Cổ phần Đầu tư và Phát triển cảng Đình Vũ,Dinh Vu Port Investment And Development Joint Stock Company,Cảng Đình Vũ,2002-11-11,+84 (225) 3769992,dai.nv@dinhvuport.com.vn,"Cảng Đình Vũ, phường Đông Hải 2, quận Hải An, Hải Phòng, Việt Nam",dinhvuport.com.vn,Dịch vụ vận tải,HOSE,2009-12-01,"Công ty Cổ phần Đầu tư và Phát triển Cảng Đình Vũ được thành lập năm 2002 trên cơ sở quyết định của Tổng Giám đốc Tổng Công ty Hàng Hải Việt Nam. Hoạt động chủ yếu của công ty là hoạt động khai thác cảng biển và xếp dỡ hàng hóa, chiếm 90% tổng doanh thu hàng năm. Cảng Đình Vũ có vị trí địa lý thuận lợi, nằm trong khu công nghiệp Đình Vũ, một khu vực trọng điểm kinh tế có tốc độ phát triển nhanh chóng của Hải Phòng. Cảng là đầu mối đưa đón hàng xuất nhập khẩu của các doanh nghiệp trong khu công nghiệp. "
DXG,Công ty Cổ phần Tập đoàn Đất Xanh,Dat Xanh Group Joint Stock Company,Dat Xanh Group,2007-11-23,+84 (28) 62525252,info@datxanh.com.vn,"Số 2W Ung Văn Khiêm, phường 25, quận Bình Thạnh, TP Hồ Chí Minh, Việt Nam",www.datxanh.com.vn,Đầu tư và phát triển bất động sản,HOSE,2009-12-22,"Công ty Cổ phần Tập đoàn Đất Xanh (DXG) tiền thân là Công ty TNHH Dịch vụ và Xây dựng Địa ốc Đất Xanh được thành lập năm 2003. Công ty chuyển đổi sang hoạt động theo mô hình tập đoàn năm 2011 và được niêm yết giao dịch trên sàn HOSE năm 2009. Trải qua hơn 10 năm hình thành và phát triển, Công ty Cổ phần Dịch vụ và Xây dựng Địa ốc Đất Xanh đã trở thành một trong những công ty phát triển nhanh trong lĩnh vực đầu tư và kinh doanh bất động sản tại Việt Nam, là đơn vị dẫn đầu toàn quốc về phân phối đất dự án, căn hộ. Hiện tại công ty có hệ thống phân phối hàng đầu Việt Nam với hệ thống các chi nhánh, công ty thành viên, công ty liên kết, công ty liên doanh hoạt động trên khắp cả nước. Công ty có nhiều dự án tiêu biểu, trong đó dự án Sunview Town của Công ty được bình chọn Top 3 khu căn hộ tốt nhất Việt Nam (theo công bố giải thưởng South East Asia Property Awards 2014) do tạp chí Property Report bình chọn."
DXP,Công ty Cổ phần Cảng Đoạn Xá,Doan Xa Port Joint Stock Company,Cảng Đoạn Xá,2001-10-19,+84 (225) 3765029,contact@doanxaport.com.vn,"Số 15 đường Ngô Quyền, phường Vạn Mỹ, quận Ngô Quyền, Hải Phòng, Việt Nam",www.doanxaport.com.vn,Dịch vụ vận tải,HNX,2009-06-08,"
Công ty Cổ phần Cảng Đoạn xá tiền thân là Xí nghiệp Xếp dỡ Đoạn Xá được thành lập năm 1995. Năm 2001, công ty được cổ phần hóa. Hoạt động kinh doanh chính của công ty là bôc xếp dỡ hàng hóa tại cảng biển, kinh doanh kho bãi, dịch vụ vận tải, dịch vụ đại lý vận tải đường biển. Trong đó, mảng dịch vụ khai thác cảng chiếm tỷ trọng trên 90% tổng doanh thu của công ty. So với các đơn vị khác cùng ngành, lợi thế lớn của công ty là có hệ thống kho bãi rộng rãi với diện tích gần 70.000 m2 bãi và 800 m2 kho CFS. "
DXS,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,DAT XANH REAL ESTATE SERVICES JOINT STOCK COMPANY,CTCP Dịch vụ Bất động sản Đất Xanh,2021-05-24,+84 (28) 86255252,info@datxanhservices.vn,"2W Ung Văn Thiêm, Phường 25, Quận Bình Thạnh, TP Hồ Chí Minh, Việt Nam",datxanhservices.vn,Dịch vụ bất động sản,HOSE,2021-09-06,"Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh được thành lập vào 21/07/2011 với mức vốn điều lệ đăng ký là 54000000000 đồng. Sau mười năm hoạt động và 6 lần tăng vốn với các hình thức khác nhau, vốn điều lệ hiện tại của Công ty là 3582012080000. Doanh nghiệp là một trong những công ty môi giới bất động sản lớn nhất Việt Nam, sở hữu hệ thống phân phối bất động sản trải dài khắp cả nước.."
DXV,Công ty Cổ phần ViCem Vật liệu xây dựng Đà Nẵng,Da Nang Construction Building Materials And Cement Joint Stock Company,VLXD Đà Nẵng,2007-06-01,+84 (236) 3707814,vanthucoxiva@gmail.com,"Tầng 06 tòa nhà DIthành phố, lô A2-19, đường Nguyễn Tất Thành nối dài, phường Hòa Hiệp Nam, quận Liên Chiểu, Đà Nẵng, Việt Nam",www.coxiva.com.vn,Vật liệu xây dựng,HOSE,2008-02-26,"Công ty xi măng vật liệu xây dựng xây lắp Đà Nẵng tiền thân là Công ty Vật tư xây dựng số 2 được thành lập theo quyết định số 503/BXD-TCCB ngày 28/10/1975 của Bộ Xây dựng. Công ty được chuyển đổi sang mô hình cổ phần năm 2007 và được niêm yết trên sàn HOSE năm 2008. Họat động sản xuất kinh doanh chủ yếu của Công ty là kinh doanh các loại xi măng với các thương hiệu nổi tiếng do các đơn vị sản xuất xi măng trực thuộc Tổng công ty xi măng sản xuất như: Hoàng Thạch, Bỉm Sơn, Bút Sơn, Hoàng Mai….với doanh thu hàng năm hơn 1000 tỷ đồng và chiếm hơn 90% tổng doanh thu của toàn công ty. Ngoài ra công ty còn sản xuất các loại gạch nung quy tiêu chuẩn với sản lượng hàng năm đạt hơn 30 triệu viên QTC/năm, sản xuất vỏ bao xi măng đạt hơn 20 triệu vỏ bao/năm. Công ty Cổ phần VICEM Vật liệu Xây dựng Đà Nẵng là đơn thành viên thuộc Tổng công ty xi măng Việt Nam với chức năng và nhiệm vụ chính là kinh doanh các loại xi măng của Tổng công ty trên thị trường Miền Trung và Tây Nguyên, là đơn vị chủ lực của Tổng công ty về kinh doanh xi măng tại khu vực Miền Trung và Tây Nguyên. "
DZM,Công ty Cổ phần Chế tạo máy Dzĩ An ,DZĩ An Manufacturing Public Limited Company,Chế tạo máy Dzĩ An,2001-01-19,+84 (274) 6220122,info@dzima.com,"Số C2-17, đường D, Khu dân cư Him Lam Phú Đông, Phường An Bình, TP DĨ An, Bình Dương, Việt Nam",www.dzima.com,Thiết bị điện,HNX,2009-06-11,"Công ty Cổ phần Chế tạo máy Dzĩ An được thành lập năm 2000. Đến tháng 04/2015, vốn điều lệ của công ty là  53,95 tỷ đồng. Công ty là một trong những doanh nghiệp tiên phong trong lĩnh vực sản xuất và kinh doanh máy phát điện diesel tại Việt Nam. Sản phẩm máy phát điện mang thương hiệu Vietgen cho đến nay đã được người tiêu dùng trong nước đánh giá rất cao và liên tục nhận được nhiều giải thưởng về chất lượng sản phẩm do Bộ Công nghiệp Việt Nam trao tặng. Năm 2014, công ty đạt doanh thu thuần là 198 tỷ đồng và lợi nhuận sau thuế là 3,799 tỷ đồng. "
EBS,Công ty Cổ phần Sách Giáo Dục tại TP Hà Nội,Educational Book Joint Stock Company In Hanoi city,Sách Giáo Dục HN,2004-03-29,+84 (24) 62534301,info@sachgiaoduchanoi.vn,"Nhà D, Tầng 2, Khu VP Vinaconex 1, 289A Khuất Duy Tiến, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội, Việt Nam",,Cửa hàng chuyên dụng,HNX,2006-12-21,"
Công ty Cổ phần Sách Giáo dục tại Thành phố Hà Nội tiền thân là Trung tâm phát hành sách tham khảo - đơn vị thành viên của Nhà xuất bản Giáo dục được thành lập từ năm 2000. Từ năm 2004, Công ty chuyển sang hoạt động theo mô hình cổ phần. Hoạt động chính của Công ty là Tham gia các đợt đấu thầu bản thảo sách tham khảo của Nhà xuất bản Giáo dục và tổ chức in, phát hành trên cả nước (Đây là hoạt động kinh doanh chính của công ty đem lại lợi nhuận chính hàng năm). Ngoài ra công ty còn liên kết xuất bản và Phát hành sách giáo dục, văn phòng phẩm, báo, tạp chí, chuyên đề của Bộ Giáo dục và Đào tạo. Phạm vi thị trường của công ty là khá rộng, công ty phát hành thông qua các kênh là Sở Giáo dục và Đào tạo, Công ty sách TBTH, Đại lý phát hành sách trên cả nước. Trong đó, tỷ lệ lớn nhất là tại khu vực miền Bắc. Đối với thị trường nước ngoài, thông qua các triển lãm sách quốc tế tổ chức tại Matxcơva, Bắc Kinh, Philippin, Frankfurt. Công ty có hai công ty liên kết có hoạt động kinh doanh chính là cửa hàng sách và in ấn."
ECI,Công ty Cổ phần Bản đồ và Tranh ảnh giáo dục,Education Cartography And Illustration Joint Stock Company,Tranh ảnh Giáo dục,2007-01-02,+84 (24) 39728395,sales@bandotranhanh.vn,"Số 45 Hàng Chuối, Phường Phạm Đình Hổ, quận Hai Bà Trưng, Hà Nội, Việt Nam",www.bandotranhanh.vn,Hoạt động xuất bản,HNX,2009-06-16,"Công ty cổ phần Bản đồ và Tranh ảnh giáo dục tiền thân là Trung tâm Bản đồ giáo khoa, trực thuộc Tổng công ty Cơ sở vật chất và thiết bị - Bộ Giáo dục, được thành lập tháng 5 năm 1989. Ngày 2/1/2007, Công ty đã chính thức chuyển đổi thành Công ty cổ phần Bản đồ và Tranh ảnh giáo dục với mức vốn điều lệ là 3.400.000.000 đồng. Công ty cổ phần Bản đồ và Tranh ảnh giáo dục được chấp thuận niêm yết cổ phiếu phổ thông tại Sở Giao dịch chứng khoán Hà Nội theo quyết định số 211/QĐTTGDHN ngày 25/5/2009 của Giám đốc Sở giao dịch chứng khoán Hà Nội với mã chứng khoán ECI. Ngày chính thức giao dịch của cổ phiếu là 16/6/2009. Ngành nghề kinh doanh chính: Biên soạn, in và phát hành bản đồ, tranh ảnh giáo dục, sách giáo dục, băng đĩa CDROM giáo dục, sách điện tử."
EIB,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam,VietNam Export - Import Commercial Joint Stock Bank,Eximbank,1992-07-23,+84 (28) 88988977,website@eximbank.com.vn,"Tầng 8, văn phòng số L8-01-11+16 Tòa nhà Vincom Center, số 72 Lê Thánh Tôn, phường Bến Nghé, Quận 1, TP Hồ Chí Minh, Việt Nam",www.eximbank.com.vn,Ngân hàng,HOSE,2009-10-27,"Ngân hàng TMCP Xuất nhập khẩu Việt Nam (Eximbank) được thành lập vào năm 1989. Ngân hàng hoạt động trong lĩnh vực huy động và kinh doanh vốn, và cung cấp các dịch vụ tài chính liên quan. Eximbank là ngân hàng đầu tiên tại Việt Nam phát hành thẻ ghi nợ quốc tế Visa Debit. Năm 2019, Tổng tài sản đạt 167.538 tỷ đồng. Huy động vốn tăng trưởng 16,7% so với năm 2018, tỷ lệ nợ xấu giảm xuống 1,71% vào cuối năm 2019, thuộc nhóm ngân hàng có tỷ lệ nợ xấu thấp trong hệ thống; thu nhập phí bảo hiểm đạt gấp 3 lần so năm 2018, góp phần đưa mức tăng trưởng thu nhập dịch vụ năm 2019 lên 12%. Eximbank được niêm yết trên Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE) từ năm 2009."
EID,Công ty Cổ phần Đầu tư và Phát triển giáo dục Hà Nội,Ha Noi Education Investment and Development Joint Sctock Company,ĐTPT giáo dục HN,2007-03-23,+84 (24) 35122568,info@heid.vn,"Tòa nhà VP HEID, ngõ 12 Láng Hạ, P Thành Công, Q Ba Đình, Hà Nội, Việt Nam",heid.vn,Hoạt động xuất bản,HNX,2009-08-11,"Công ty CP Đầu tư và Phát triển Giáo dục Hà nội HEID thành lập mới từ năm 2007, là thành viên của Nhà Xuất Bản Giáo Dục. Hoạt động chính của công ty là xuất bản, in ấn và tổng phát hành các loại sách giáo khoa, sách tham khảo, tạp chí, tranh ảnh, bản đồ giáo khoa, băng hình, băng tiếng. Hàng năm, công ty phát hành khoảng 40 triệu bản sách. Ngoài một trụ sở chính, Công ty còn có 2 cửa hàng là : Cửa hàng 32E Kim mã, Cửa hàng tại 67B Cửa bắc và Lô nhà đơn nguyên 1- Lô2 (103) Phố Nguyễn Khánh Toàn. Mặt hàng sách được in ấn phát hành đến 29 tỉnh, thành phố khu vực phía bắc, riêng mặt hàng bốc lịch được in ấn và phát hành trên khắp cả nước."
ELC,Công ty Cổ phần Đầu tư Phát triển Công nghệ điện tử - Viễn thông ,Electronics Communications Technology Investment Development Corporation,C.nghệ Đ.tử V.thông,2003-07-18,+84 (24) 38359359,hn.info@elcom.com.vn,"Tòa nhà Elcom, phố Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội, Việt Nam",www.elcom.com.vn,Phần mềm,HOSE,2010-10-13,"
Công ty Cổ phần Đầu tư Phát triển Công nghệ điện tử - Viễn thông (Elcom) tiền thân là Công ty trách nhiệm hữu hạn Đầu tư Phát triển Công nghệ điện tử - viễn thông được thành lập năm 1995. Năm 2003, công ty chuyển sang hoạt động theo mô hình công ty cổ phần với vốn điều lệ ban đầu là 10 tỷ đồng. . Elcom hiện là nhà cung cấp các sản phẩm phần mềm và hệ thống cho các nhà cung cấp dịch vụ mạng, cung cấp các giải pháp chìa khóa trao tay và các dịch vụ kỹ thuật cho ngành Viễn thông và An ninh. Hoạt động của công ty bao hồm hoạt động thương mại đại lý, sản xuất phần mềm và tích hợp phần mềm. Ngoài ra công ty đang sở hữu một số dự án bất động sản và khai khoáng có giá trị cao. Trong đó hoạt động thương mại đại lý là hoạt động mang lại doanh thu cao nhất. Công ty là đơn vị đầu tiên tại Việt Nam cũng như trên thế giới nghiên cứu thành công trong việc đưa ra giải pháp hệ thống hội nghị truyền hình qua công nghệ nén MPEG, cũng nhe các giải pháp hội nghị truyền hình trên nền 3G. Các đối thủ cạnh tranh lớn của công ty là Huawei, ZTE (Trung Quốc), NEO, FPT, Siseo (Mỹ)."
